id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Abergele (AM),0.2780919025200961,0.17587809612621394,0.9679930795847751,17,,,,,,,,,,,,,,blended_model,global
Abichugna Gne'a,0.3794482500182955,0.2917394654762567,0.9363905325443787,13,,,,,,,,,,,,,,blended_model,global
Abuna Ginde Beret,0.6686038099532144,0.43746607063771,0.8055555555555556,9,,,,,,,,,,,,,,blended_model,global
Ada'a,0.38717539649372507,0.21676454551253585,0.9375,14,,,,,,,,,,,,,,blended_model,global
Adaba,0.5111685332574041,0.4867362964067551,0.8801775147928994,13,,,,,,,,,,,,,,blended_model,global
Adama,0.4620775357590171,0.4195723415103818,0.8596938775510204,14,,,,,,,,,,,,,,blended_model,global
Adama Tulu Jido Kombolcha,0.6262341274254718,0.6190292484680251,0.8125,14,,,,,,,,,,,,,,blended_model,global
Adama town,0.4294555788758601,0.2722286683707106,0.92,15,,,,,,,,,,,,,,blended_model,global
Adda Berga,0.7375680601341947,0.7040280543571059,0.7407407407407407,9,,,,,,,,,,,,,,blended_model,global
Addi Arekay,0.6143609193973578,0.42732408201883915,0.8425,10,,,,,,,,,,,,,,blended_model,global
Adiss Zemen town,0.251657913135,0.1380747419542872,0.9970414201183432,13,,,,,,,,,,,,,,blended_model,global
Agarfa,0.42536880092870655,0.35165583492306485,0.931640625,16,,,,,,,,,,,,,,blended_model,global
Akaki,1.104030854694921,1.1529305289732072,0.6265432098765432,9,,,,,,,,,,,,,,blended_model,global
Akeseta town,0.7870226938533496,0.8681511863352702,0.8091715976331361,13,,,,,,,,,,,,,,blended_model,global
Albuko,0.6737526118870951,0.657295902553907,0.7831632653061225,14,,,,,,,,,,,,,,blended_model,global
Alefa,0.9220682270213855,0.7271067714203172,0.6574074074074074,9,,,,,,,,,,,,,,blended_model,global
Aleltu,0.20583967114689314,0.11153050406180194,0.9930555555555556,12,,,,,,,,,,,,,,blended_model,global
Aleme Ketma town,0.38996947689786804,0.30887093876921906,0.9408284023668639,13,,,,,,,,,,,,,,blended_model,global
Amanuel town,0.6879132559734581,0.4642615807431608,0.805,10,,,,,,,,,,,,,,blended_model,global
Amba Giorgis town,0.30072441484786877,0.16871979936346573,0.9970414201183432,13,,,,,,,,,,,,,,blended_model,global
Ambasel,0.442410571870486,0.3331837945925423,0.9222222222222223,15,,,,,,,,,,,,,,blended_model,global
Ambo Zuria,0.5169236020689391,0.33470785729591923,0.9444444444444444,9,,,,,,,,,,,,,,blended_model,global
Ambo town,0.5453510617181636,0.3684827454509554,0.9228395061728395,9,,,,,,,,,,,,,,blended_model,global
Ameya,0.8001712006732135,0.6959488626573305,0.6425619834710744,11,,,,,,,,,,,,,,blended_model,global
Amigna,0.3438461600587746,0.2649221938963524,0.9567901234567902,18,,,,,,,,,,,,,,blended_model,global
Andabet /West Esite,0.2836795449313051,0.17432083833975354,0.9896449704142012,13,,,,,,,,,,,,,,blended_model,global
Aneded,0.6098876487543547,0.42708936553102717,0.875,10,,,,,,,,,,,,,,blended_model,global
Angolelana Tera,0.44924980446099305,0.3803530640354274,0.8994082840236687,13,,,,,,,,,,,,,,blended_model,global
Angot,0.38112793755103463,0.2753873044051625,0.9349030470914127,19,,,,,,,,,,,,,,blended_model,global
Ankober,0.49408953648460485,0.33967588516803354,0.889030612244898,14,,,,,,,,,,,,,,blended_model,global
Antsokiya,0.7277919899415962,0.7897686273937669,0.7678571428571429,14,,,,,,,,,,,,,,blended_model,global
Arerti town,0.3959333796121527,0.2349264362519855,0.9433333333333334,15,,,,,,,,,,,,,,blended_model,global
Argoba,0.9023896370731496,1.0768494034574163,0.7780612244897959,14,,,,,,,,,,,,,,blended_model,global
Arsi Negele,1.1121268835750793,1.0539607685168864,0.5493827160493827,9,,,,,,,,,,,,,,blended_model,global
Arsi Negele town,0.8947006520239016,0.8862049607465732,0.6759259259259259,9,,,,,,,,,,,,,,blended_model,global
Aseko,0.7384426523309474,1.1252451688862073,0.7121928166351607,23,,,,,,,,,,,,,,blended_model,global
Asela town,0.5403129656236109,0.42875580052185863,0.8455555555555555,15,,,,,,,,,,,,,,blended_model,global
Assagirt,0.4628272248716704,0.3212969464984566,0.889030612244898,14,,,,,,,,,,,,,,blended_model,global
Ataye town,0.5270391697648592,0.4322915954332446,0.8966666666666666,15,,,,,,,,,,,,,,blended_model,global
Awabel,0.7186047159008127,0.5794541388360468,0.77,10,,,,,,,,,,,,,,blended_model,global
Aykel town,0.5530847167336409,0.44180588887130656,0.8734567901234568,9,,,,,,,,,,,,,,blended_model,global
Bako Tibe,0.6973345659504364,0.6242145449728335,0.75,4,,,,,,,,,,,,,,blended_model,global
Baso Liben,0.550929696951281,0.3594172045372055,0.8975,10,,,,,,,,,,,,,,blended_model,global
Basona Worena,0.5514992467325939,0.5241081332582603,0.8461538461538461,13,,,,,,,,,,,,,,blended_model,global
Batu town,0.4100433420796954,0.46600290769139036,0.9404432132963989,19,,,,,,,,,,,,,,blended_model,global
Bechena town,0.3524014589433731,0.2591399640391006,0.9630177514792899,13,,,,,,,,,,,,,,blended_model,global
Becho (SW Shewa),1.3403236886965824,1.6435039129940756,0.37244897959183676,7,,,,,,,,,,,,,,blended_model,global
Bedesa town,1.2747539021678058,1.4927211780454526,0.5740740740740741,9,,,,,,,,,,,,,,blended_model,global
Bele Gesgar,0.47756024028002264,0.3897273817127415,0.9140625,16,,,,,,,,,,,,,,blended_model,global
Bereh,1.0891385397789293,1.0525136868754048,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
Berehet,0.463793664933106,0.3266191163149244,0.9022222222222223,15,,,,,,,,,,,,,,blended_model,global
Beyeda,0.6374645197746397,0.6996392175327133,0.8047337278106509,13,,,,,,,,,,,,,,blended_model,global
Bibugn,0.6482067678721152,0.4171827937088844,0.8553719008264463,11,,,,,,,,,,,,,,blended_model,global
Bishoftu town,1.0730988480094628,1.114925678787394,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
Bokoji town,0.5747112175510148,0.4669598823704136,0.8402777777777778,12,,,,,,,,,,,,,,blended_model,global
Bora (OR),0.5230188353683901,0.4315882096124545,0.8367346938775511,14,,,,,,,,,,,,,,blended_model,global
Borena /Debresina,0.2899525642225068,0.20545172477869475,0.9807692307692307,13,,,,,,,,,,,,,,blended_model,global
Boset,0.4473329438514,0.296175803634986,0.9188888888888889,15,,,,,,,,,,,,,,blended_model,global
Bugna,0.6901263032854226,0.6660358049525892,0.8022959183673469,14,,,,,,,,,,,,,,blended_model,global
Burayu,0.9852661799992606,0.9709339223867206,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
Bure (AM),0.8694503704316299,0.6827091527192821,0.645,10,,,,,,,,,,,,,,blended_model,global
Bure town,1.0222949216670107,0.956858999306159,0.5764462809917356,11,,,,,,,,,,,,,,blended_model,global
Burqua Dhintu,0.012831633401092932,0.011916811060868615,1.0,23,,,,,,,,,,,,,,blended_model,global
Chancho town,0.9850210299293942,0.9105483811709278,0.6358024691358025,9,,,,,,,,,,,,,,blended_model,global
Cheliya,0.6827781285655198,0.4506977239797358,0.8194444444444444,6,,,,,,,,,,,,,,blended_model,global
Chilga 1,0.569630922044154,0.44548127729192927,0.8580246913580247,9,,,,,,,,,,,,,,blended_model,global
Chilga 2,0.5816082140902116,0.4611116043288286,0.8549382716049383,9,,,,,,,,,,,,,,blended_model,global
Chiro Zuria,0.6887215862374412,0.6718957487536351,0.8411111111111111,15,,,,,,,,,,,,,,blended_model,global
Chiro town,1.3889032701828354,1.6781877110680934,0.5493827160493827,9,,,,,,,,,,,,,,blended_model,global
Chole,0.33032582555853396,0.19627268957002175,0.953125,16,,,,,,,,,,,,,,blended_model,global
Cobi,0.8246495550911108,0.7395357938087868,0.5833333333333334,6,,,,,,,,,,,,,,blended_model,global
Dabat,0.8177143328614264,0.6796526478889366,0.6975308641975309,9,,,,,,,,,,,,,,blended_model,global
Dabat town,0.8509139254794461,0.7585615728707539,0.6666666666666666,9,,,,,,,,,,,,,,blended_model,global
Dano,0.5754987780835111,0.2765108140885461,0.8958333333333334,6,,,,,,,,,,,,,,blended_model,global
Dawo,1.2921753257765711,1.5907529500912747,0.3826530612244898,7,,,,,,,,,,,,,,blended_model,global
Dawunt,0.5309492631854603,0.42022911645712335,0.8711734693877551,14,,,,,,,,,,,,,,blended_model,global
Debark,0.8332011759514634,0.7045154195198231,0.6975308641975309,9,,,,,,,,,,,,,,blended_model,global
Debark town,0.6779000966837798,0.6210732182070338,0.7561728395061729,9,,,,,,,,,,,,,,blended_model,global
Debay Telatgen,0.253868913100924,0.15229896145020946,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Debre Berhan town,0.5154356484811505,0.47090422256588316,0.863905325443787,13,,,,,,,,,,,,,,blended_model,global
Debre Elias,0.6979697460002479,0.46066325974723954,0.785,10,,,,,,,,,,,,,,blended_model,global
Debre Libanos,0.31395894904221083,0.23412239955216238,0.9689349112426036,13,,,,,,,,,,,,,,blended_model,global
Debre Markos town,0.570756184363231,0.39701325753807465,0.9,10,,,,,,,,,,,,,,blended_model,global
Debre Sina town,0.6217326471755862,0.6241877284704708,0.8180473372781065,13,,,,,,,,,,,,,,blended_model,global
Debre Tabor town,0.20018456680894492,0.10269701137609985,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Debrework town,0.35001203394023606,0.25343873825462293,0.9600591715976331,13,,,,,,,,,,,,,,blended_model,global
Dega Damot,0.6833593870856876,0.4941618108396941,0.7777777777777778,9,,,,,,,,,,,,,,blended_model,global
Degeluna Tijo,0.970023044273623,1.0126354818323953,0.6419753086419753,9,,,,,,,,,,,,,,blended_model,global
Degem,1.1073568705329142,1.0690854619308874,0.6327160493827161,9,,,,,,,,,,,,,,blended_model,global
Degolo town,0.7235714639901177,0.7528078707428896,0.8180473372781065,13,,,,,,,,,,,,,,blended_model,global
Dehana,0.7431336225455408,0.7832287379008259,0.7793367346938775,14,,,,,,,,,,,,,,blended_model,global
Dejen,0.2632888965689596,0.15396812112861757,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Dejen town,0.30065097515837597,0.1934599578672234,0.9911242603550295,13,,,,,,,,,,,,,,blended_model,global
Delanta,0.37840357789088597,0.2606713998354545,0.9404432132963989,19,,,,,,,,,,,,,,blended_model,global
Dembecha,0.7094167182564435,0.47802723224147325,0.7975,10,,,,,,,,,,,,,,blended_model,global
Denbecha town,0.6879132559734581,0.4642615807431608,0.805,10,,,,,,,,,,,,,,blended_model,global
Dendi,0.6804192902765771,0.39242082491867125,0.7925,10,,,,,,,,,,,,,,blended_model,global
Dera (AM),0.37181633253238694,0.2626103617616283,0.9585798816568047,13,,,,,,,,,,,,,,blended_model,global
Dera (OR),0.30196585535389836,0.2122749329014581,0.9674556213017751,13,,,,,,,,,,,,,,blended_model,global
Dera town,0.5731470994227441,0.636612600101821,0.8380102040816326,14,,,,,,,,,,,,,,blended_model,global
Dessie Zuria,0.6391302195334652,0.6060946044173062,0.7946428571428571,14,,,,,,,,,,,,,,blended_model,global
Dessie town,0.4637109884011027,0.3471844939791848,0.8966666666666666,15,,,,,,,,,,,,,,blended_model,global
Diksis,0.45630836086603976,0.310455336206349,0.9088888888888889,15,,,,,,,,,,,,,,blended_model,global
Dinsho,0.3683121850993657,0.3061024736868774,0.9314404432132964,19,,,,,,,,,,,,,,blended_model,global
Doba,0.8309156764727376,0.8868530259786486,0.8366666666666667,15,,,,,,,,,,,,,,blended_model,global
