adm3_pcode,adm3_name
ET040703,Adama
ET042012,Akaki
ET040503,Ambo Zuria
ET030617,Aneded
ET041703,Arsi Negele
ET041799,Arsi Negele town
ET030612,Awabel
ET030611,Baso Liben
ET030519,Basona Worena
ET041309,Becho (SW Shewa)
ET040710,Bora (OR)
ET040702,Boset
ET030710,Bure (AM)
ET041304,Dawo
ET030520,Debre Berhan town
ET030608,Debre Elias
ET040607,Debre Libanos
ET030615,Debre Markos town
ET040815,Degeluna Tijo
ET040605,Degem
ET030613,Dejen
ET030708,Dembecha
ET030209,Dera (AM)
ET030409,Dessie Zuria
ET041707,Dodola
ET040707,Dugda
ET031111,East Dembia
ET030508,Eferatana Gidem
ET041706,Gedeb Asasa
ET042103,Ginir
ET030307,Guba Lafto
ET030610,Guzamn
ET030602,Hulet Ej Enese
ET041305,Ilu
ET030709,Jabi Tehnan
ET040804,Jeju
ET030407,Kalu
ET041307,Kersana Malima
ET041705,Kore
ET040704,Lome (OR)
ET040821,Lude Hitosa
ET040801,Merti
ET030609,Michakel
ET030504,Moretna Jiru
ET040817,Munessa
ET042006,Sebeta Hawas
ET040814,Shirka
ET030523,Siya Debirna Wayu
ET042013,Sululta
ET040816,Tiyo
ET040517,Toke Kutaye
ET041303,Waliso
ET040601,Wara Jarso
ET042014,Welmera
ET030711,Wemberma
ET040608,Wuchale
